id,edad,comuna,estrato,genero,gpoblacional,nivel_educativo,e_ingresos,e_sustento,e_talento,e_problematica,e_pasion,e_investigativo,aprendizaje_activo,creatividad_originalidad,pensamiento_alto,resolucion_problemas,liderazgo,gestion_tiempo,inteligencia_emoc,diseno_tecnologico,destrezas_manuales,gestion_finanzas,pensamiento_analitico,habilidades_visuales,fort_habillidades,toma_decisiones,ano_inicio,prim_emprend,bien_servicio,desc_bien,desarrollo_empren,rol,ingresos_sostenimiento,personas_empren,remuneracion,legal_vigente,tendencia,financiamiento,abandono,motivo_a,formalizacion,innovacion,presentacion_inn,sostenibilidad_ambiental,herramientas_tecnol,tecnologia,redes_sociales,apoyo_institucional,articulacion,acercamiento,ecosistema_emprendedor
100,19,Comuna 9-Buenos Aires,2,Hombre,Victima del conflicto armado,Secundaria,7,7,7,4,7,6,5,4,7,4,6,6,6,7,6,4,5,7,"Creatividad, originalidad e iniciativa, Gestion del tiempo y coordinacion, Diseno tecnologico y programacion, Pensamiento analitico e innovacion, Habilidades visuales y discursivas",Relativamente comodo,2020,"No, ya he emprendido antes",Servicio,"Servicio de fotografia de todo tipo, en casa o exteriores ayudando a otros jovenes que no tienen ingresos dandoles un papel de ayudante o con alguna habilidad que tenga y pueda complementarse a traves de la fotografia ",Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",No lo se,Si,"Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Formacion,Si,"Formacion de red o equipo articulado, Cooperacion",5
101,28,Comuna 7-Robledo,2,Mujer,Ninguno de los anteriores,Tecnologia,4,4,7,7,6,7,6,7,5,5,7,7,7,5,6,5,3,5,"Creatividad, originalidad e iniciativa, Gestion de las finanzas, Habilidades visuales y discursivas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Servicio,Ofrezco por medio del grupo Sirius diversidad de shows en danza oriental y tambien brindo clases.,Idea,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",No,Si,"Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales","Instagram, Pagina web en wix",Ninguna,No,,3
102,23,Corregimiento San Antonio de Prado,2,Mujer,Ninguno de los anteriores,Tecnologia,6,0,7,0,7,7,6,7,7,7,7,6,7,0,7,6,6,7,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Gestion de las finanzas",Poco comodo,2016,"No, ya he emprendido antes",Ambos,"Obras de arte y subenires de las mismas obras de arte ,como pines ,libretas,stickers  ",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo",No son una fuente determinante de los ingresos del hogar,No hay personas adicionales involucradas,No,Menos de 1 SMMLV,"La produccion es ciclica, responde a una fecha o temporada especifica del ano",Ahorros personales,Si,Problemas financieros,Registro unico Tributario (RUT),Si,La forma en la que el bien/servicio es producido,No,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Concurso,No,,4
103,18,Comuna 12- La America,5,Mujer,Ninguno de los anteriores,Tecnica en curso,7,0,7,5,7,7,5,7,2,5,7,5,6,0,7,4,5,4,"Pensamiento critico, Gestion de las finanzas, Habilidades visuales y discursivas",Relativamente comodo,2020,"No, ya he emprendido antes",Ambos,"Tengo una pagina en Instagram (byandramakeup) en la cual muestro mi trabajo como maquilladora, enseno por medio de tutoriales y cursos.
Lo que tambien hace parte de este camino, es que las personas no tengan estereotipos de belleza, cada quien debe tener su propio estilo y la forma en que quiera expresarse es totalmente valida. Es mi responsabilidad tener trazos completamente limpios, como tambien es entender la necesidad del cliente para lucir acorde a su personalidad; no brindo un servicio para que las personas se sientan satisfechas con el, lo brindo para que sientan seguridad y amor al ver todo lo que resalta en ellos de una manera sutil con un toque artistico.",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",No son una fuente determinante de los ingresos del hogar,No hay personas adicionales involucradas,No,Menos de 1 SMMLV,"La produccion es ciclica, responde a una fecha o temporada especifica del ano",Ahorros familiares,No,,Ninguno de los anteriores,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp","Acompanamiento tecnico o asesoria, Formacion, Concurso",Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",7
104,17,Comuna 2- Santa Cruz,2,Hombre,Ninguno de los anteriores,Secundaria en curso,6,7,7,7,7,7,6,7,7,5,5,6,5,7,7,5,7,7,"Pensamiento critico, Gestion del tiempo y coordinacion, Gestion de las finanzas",Relativamente comodo,2019,"No, ya he emprendido antes",Bien,Mejora la calidad de vida de las personas a traves artefactos tecnologicos ,Idea,,,,,,,,,,,Si,"Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion",Ninguna,Ninguna,Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",6
105,22,Comuna 14- El Poblado,3,Mujer,Ninguno de los anteriores,Pregrado,7,7,6,0,7,0,7,7,6,6,7,5,5,0,4,5,5,5,"Gestion del tiempo y coordinacion, Inteligencia emocional, Gestion de las finanzas, Habilidades visuales y discursivas",Muy comodo,2020,"Si, es mi primer emprendimiento",Bien,"Reposteria, valor agregado se usan alimentos del mercado local y se empacan en materiales biodegradables. ",Idea en estado avanzado,,,,,,,,,,,Si,"La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,3
106,23,Comuna 14- El Poblado,5,Mujer,Ninguno de los anteriores,Pregrado,7,7,7,7,7,0,6,6,7,6,5,6,5,0,6,3,5,6,"Liderazgo, Inteligencia emocional, Gestion de las finanzas",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Servicio,Acompanamiento psicologico a personas en duelo que perdieron a un ser querido en la contingencia actual,Produccion y comercializacion,Distribuir y llevar el producto al cliente para su consumo,Son relativamente importantes en los ingresos del hogar,1 a 5 personas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,Tenemos un servicio por tanto no tenemos produccion,Crowdfounding (financiamiento colaborativo mediante vaki),No,,Ninguno de los anteriores,Si,Las caracteristicas del bien/servicio que ofreces,Si,Si,Otro,"Facebook, Twitter, Instagram, Whatsapp, YouTube",Ninguna,No,,4
107,25,Comuna 11- Laureles Estadio,5,Mujer,Ninguno de los anteriores,Pregrado,1,0,1,1,1,1,6,6,6,5,5,4,5,1,2,4,5,6,"Resolucion de problemas, Gestion del tiempo y coordinacion, Gestion de las finanzas, Habilidades visuales y discursivas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Servicio,"Acompanamiento individual y grupal a traves de la psicologia creativa, potenciando las necesidades de cada individuo ",Produccion y comercializacion,"Proveer materias primas e insumos a otros emprendimientos, Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",No son una fuente determinante de los ingresos del hogar,1 a 3 personas,No,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Ahorros personales, Apoyo de familiares, amigos u otros.",Si,Razones personales,Registro unico Tributario (RUT),Si,No lo se,Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram",Ninguna,Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",3
108,26,Comuna 10- La Candelaria,2,Hombre,Ninguno de los anteriores,Pregrado,7,7,5,6,2,6,7,6,7,7,7,7,5,3,6,7,7,7,"Inteligencia emocional, Diseno tecnologico y programacion, Destrezas manuales, resistencia y precision",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Servicio,Asesorias Profesionales y academicas en pedagogia para empresas y modelos de gestion de talento humano ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",Son la fuente mas importante de ingresos del hogar,1 a 3 personas,Si,Entre 1 y 2 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,Si,Problemas financieros,Registro unico Tributario (RUT),Si,Las caracteristicas del bien/servicio que ofreces,No lo se,Si,"Analisis de datos y toma de decisiones, Proceso de produccion","Facebook, Instagram, Whatsapp",Ninguna,Si,Intercambio de experiencias,5
109,24,Comuna 16- Belen,4,Hombre,Ninguno de los anteriores,Pregrado en curso,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Pensamiento critico, Resolucion de problemas, Liderazgo, Gestion del tiempo y coordinacion, Inteligencia emocional, Diseno tecnologico y programacion, Destrezas manuales, resistencia y precision, Gestion de las finanzas, Pensamiento analitico e innovacion, Habilidades visuales y discursivas, Ninguna de las anteriores",Muy comodo,2020,"No, ya he emprendido antes",Ambos,Reposteria ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Si,Entre 1 y 2 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Ahorros personales, Ahorros familiares",No,,Ninguno de los anteriores,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp","Acompanamiento tecnico o asesoria, Formacion, Financiacion",Si,"Formacion de red o equipo articulado, Intercambio de experiencias",6
110,25,Comuna 16- Belen,4,Hombre,Ninguno de los anteriores,Pregrado,6,2,5,2,7,4,4,3,4,6,5,4,3,7,0,7,5,3,"Aprendizaje activo y estrategico, Pensamiento critico, Inteligencia emocional",Relativamente comodo,2013,"No, ya he emprendido antes",Servicio,software a la medida paginas web e infraestructura en la nube,Produccion y comercializacion,"Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Si,Entre 1 y 2 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,No,,Registro unico Tributario (RUT),Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido",Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,6
111,25,Comuna 12- La America,5,Mujer,Ninguno de los anteriores,Pregrado,5,4,7,7,7,1,7,7,5,5,4,2,6,4,5,5,5,6,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Destrezas manuales, resistencia y precision",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Bien,"Tida es una marca de vestuario y accesorios femenina y optimista, donde los animales son los protagonistas.",Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales","Facebook, Instagram",Acompanamiento tecnico o asesoria,Si,Formacion de red o equipo articulado,7
112,25,Comuna 11- Laureles Estadio,5,Hombre,Ninguno de los anteriores,Posgrado en curso,5,5,7,7,7,7,6,6,6,5,5,4,5,5,3,3,6,6,"Liderazgo, Gestion del tiempo y coordinacion, Gestion de las finanzas",Muy comodo,2019,"No, ya he emprendido antes",Servicio,"Servicios de estrategia digital, marketing y  publicidad en internet. ",Idea en estado avanzado,,,,,,,,,,,Si,"La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea",Whatsapp,Ninguna,Si,"Formacion de red o equipo articulado, Intercambio de experiencias, Cooperacion",4
113,25,Comuna 12- La America,5,Mujer,Ninguno de los anteriores,Pregrado,6,3,7,7,7,1,6,6,5,5,5,3,7,6,5,4,4,6,"Pensamiento critico, Resolucion de problemas, Diseno tecnologico y programacion",Relativamente comodo,2019,"No, ya he emprendido antes",Servicio,Vestirela.com es una tienda virtual de ropa de segunda para mujeres en Colombia. Las usuarias pueden vender y comprar. ,Produccion y comercializacion,Promocionar y publicitar el producto para fomentar su venta,No son una fuente determinante de los ingresos del hogar,1 a 3 personas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,Su actividad por ahora es baja y no es constante. ,"Ahorros personales, Apoyo de familiares, amigos u otros.",No,,Ninguno de los anteriores,Si,Las caracteristicas del bien/servicio que ofreces,Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp","Acompanamiento tecnico o asesoria, Concurso",Si,Formacion de red o equipo articulado,7
114,28,Comuna 7-Robledo,4,Hombre,Ninguno de los anteriores,Posgrado,0,0,4,6,7,0,6,7,7,7,5,6,7,2,0,6,6,7,"Liderazgo, Gestion del tiempo y coordinacion, Pensamiento analitico e innovacion",Muy comodo,2020,"No, ya he emprendido antes",Ambos,Jugos funcionales de fruta prensados en frio con acompanamiento nutricional,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",No son una fuente determinante de los ingresos del hogar,1 a 3 personas,No,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,Ahorros personales,No,,"Registro unico Tributario (RUT), Numero de Identificacion Tributaria (NIT)",Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido",Si,Si,"Analisis de datos y toma de decisiones, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,1
115,24,Corregimiento San Antonio de Prado,2,Hombre,Afrodescendiente,Secundaria,7,7,7,7,5,2,7,7,5,7,6,6,5,5,5,0,2,7,"Liderazgo, Diseno tecnologico y programacion, Gestion de las finanzas, Habilidades visuales y discursivas",Muy comodo,2019,"Si, es mi primer emprendimiento",Ambos,"Una empresa audiovisual y de entretenimiento, con el fin de generar toda clase de marketing",Idea,,,,,,,,,,,No,,Si,Si,Publicidad e interaccion con los consumidores a traves de redes sociales,"Facebook, Instagram, YouTube ",Ninguna,No,,5
116,28,Comuna 2- Santa Cruz,2,Mujer,Ninguno de los anteriores,Tecnologia en curso,7,7,4,2,7,6,7,6,7,7,7,7,7,5,5,6,6,6,"Gestion de las finanzas, Pensamiento analitico e innovacion",Relativamente comodo,2018,"Si, es mi primer emprendimiento",Servicio,Venta de productos naturistas ,Produccion y comercializacion,"Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,No hay personas adicionales involucradas,No,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Ahorros personales, Apoyo de familiares, amigos u otros.",Si,Problemas financieros,Registro unico Tributario (RUT),Si,"Las caracteristicas del bien/servicio que ofreces, La forma en que el bien/servicio es promocionado y vendido",Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,2
117,24,Comuna 9-Buenos Aires,2,Mujer,Victima del conflicto armado,Tecnica,7,7,7,3,7,1,6,6,5,5,6,6,6,5,5,7,7,5,"Gestion del tiempo y coordinacion, Diseno tecnologico y programacion, Gestion de las finanzas",Relativamente comodo,2020,"No, ya he emprendido antes",Servicio,"Vendo cosmeticos de mujer, maquillajes,  accesorios de mujer y hombres,  bolsos, tenis etc",Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",No lo se,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Ninguna",Formacion,No,,5
118,26,Comuna 4-Aranjuez,3,Mujer,Ninguno de los anteriores,Tecnologia en curso,7,7,5,2,7,0,6,6,7,7,6,5,6,3,5,6,6,6,"Creatividad, originalidad e iniciativa, Gestion de las finanzas, Pensamiento analitico e innovacion",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Bien,Son cajitas para regalar personalizadas y monocromaticas,Idea,,,,,,,,,,,Si,Las caracteristicas del bien/servicio que ofreces,No,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea",Instagram,Ninguna,No,,2
119,25,Comuna 1-Popular,2,Mujer,Ninguno de los anteriores,Pregrado,1,1,0,1,1,0,2,2,2,2,0,1,0,0,1,0,1,0,"Inteligencia emocional, Habilidades visuales y discursivas",Poco comodo,2020,"Si, es mi primer emprendimiento",Servicio,Ofrecer pulpas de frutas y mezclas diferentes y benficiosas,Idea,,,,,,,,,,,Si,Las caracteristicas del bien/servicio que ofreces,No lo se,No,,Facebook,Ninguna,No,,4
120,23,Comuna 7-Robledo,2,Hombre,Ninguno de los anteriores,Pregrado en curso,5,7,7,6,7,4,7,6,7,7,7,6,5,4,4,5,7,7,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Pensamiento critico, Resolucion de problemas, Liderazgo, Gestion del tiempo y coordinacion, Diseno tecnologico y programacion, Gestion de las finanzas, Pensamiento analitico e innovacion, Habilidades visuales y discursivas",Muy comodo,Sin dato,"Si, es mi primer emprendimiento",Servicio,Se brinda dulces y objetos de ocio y variedades,Idea,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",No lo se,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Twitter, Instagram, Whatsapp",Ninguna,No,,5
121,20,Comuna 1-Popular,2,Hombre,Ninguno de los anteriores,Tecnologia en curso,7,7,6,4,7,0,6,7,6,7,7,7,7,5,5,5,5,5,"Pensamiento critico, Diseno tecnologico y programacion, Gestion de las finanzas",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Ambos,Venta de ropa masculina y femenina ,Produccion y comercializacion,"Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",No son una fuente determinante de los ingresos del hogar,1 a 3 personas,Si,Menos de 1 SMMLV,La cantidad obedece a los recursos disponibles para invertir en produccion,"Ahorros personales, Ahorros familiares",No,,Ninguno de los anteriores,Si,La forma en que el bien/servicio es promocionado y vendido,No lo se,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,No,,3
122,27,Comuna 14- El Poblado,6,Hombre,Ninguno de los anteriores,Tecnologia,5,0,7,1,7,0,7,7,6,6,6,6,5,3,7,5,6,6,"Inteligencia emocional, Diseno tecnologico y programacion, Gestion de las finanzas",Relativamente comodo,2019,"Si, es mi primer emprendimiento",Ambos,Reposteria a domicilio y con opcion de encargo personalizado,Idea en estado avanzado,,,,,,,,,,,No,,Si,Si,Publicidad e interaccion con los consumidores a traves de redes sociales,"Instagram, Whatsapp",Ninguna,Si,Cooperacion,4
123,25,Comuna 15-Guayabal,3,Mujer,Ninguno de los anteriores,Tecnologia,7,7,4,0,6,7,7,7,3,3,6,5,5,7,7,1,2,7,"Aprendizaje activo y estrategico, Gestion del tiempo y coordinacion, Gestion de las finanzas",Relativamente comodo,2017,"Si, es mi primer emprendimiento",Bien,Ropa,Idea en estado avanzado,,,,,,,,,,,Si,No lo se,Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,5
124,20,Comuna 8-Villa Hermosa,1,Hombre,Ninguno de los anteriores,Pregrado en curso,1,1,1,0,1,1,2,2,2,2,2,1,2,1,0,0,1,2,"Gestion del tiempo y coordinacion, Diseno tecnologico y programacion, Gestion de las finanzas",Relativamente comodo,2019,"No, ya he emprendido antes",Servicio,"Creacion con contenidos audiovisuales para marchas y o personas, con multiples fines e intensionalidades.",Idea en estado avanzado,,,,,,,,,,,Si,"Las caracteristicas del bien/servicio que ofreces, La forma en la que el bien/servicio es producido, Las caracteristicas de la organizacion (las personas, las relaciones y el entorno)",Si,Si,"Analisis de datos y toma de decisiones, Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp","Acompanamiento tecnico o asesoria, Formacion, Financiacion",Si,Cooperacion,4
125,20,Comuna 8-Villa Hermosa,1,Mujer,Ninguno de los anteriores,Secundaria,7,7,7,4,7,4,7,7,7,7,7,7,7,3,0,2,7,7,"Inteligencia emocional, Diseno tecnologico y programacion, Habilidades visuales y discursivas",Muy comodo,2018,"Si, es mi primer emprendimiento",Bien,Venta de accesorios y ropa ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,No hay personas adicionales involucradas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,La cantidad obedece a los recursos disponibles para invertir en produccion,Ahorros familiares,Si,Problemas financieros,Ninguno de los anteriores,Si,"Las caracteristicas de la organizacion (las personas, las relaciones y el entorno), La forma en que el bien/servicio es promocionado y vendido",No,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,Si,Intercambio de experiencias,2
126,24,Comuna 13-San Javier,3,Hombre,Ninguno de los anteriores,Tecnologia en curso,7,7,7,2,7,3,7,7,6,7,7,7,7,7,6,7,7,6,"Creatividad, originalidad e iniciativa, Resolucion de problemas, Gestion del tiempo y coordinacion, Habilidades visuales y discursivas",Relativamente comodo,2018,"Si, es mi primer emprendimiento",Ambos,venta de productos y accesorios ,Produccion y comercializacion,Promocionar y publicitar el producto para fomentar su venta,Son la fuente mas importante de ingresos del hogar,1 a 5 personas,Si,Menos de 1 SMMLV,"La produccion es ciclica, responde a una fecha o temporada especifica del ano",Ahorros personales,Si,Problemas financieros,Ninguno de los anteriores,Si,La forma en que el bien/servicio es promocionado y vendido,Si,Si,"Analisis de datos y toma de decisiones, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,Si,Cooperacion,2
127,18,Comuna 6- Doce de Octubre,1,Mujer,Victima del conflicto armado,Pregrado en curso,6,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,"Gestion del tiempo y coordinacion, Gestion de las finanzas, Habilidades visuales y discursivas",Muy comodo,2013,"No, ya he emprendido antes",Bien,"Postres cata, son diferentes tipos de postres, en diferentes tamanos, sabores y necesidades de la gente que lo necesita",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",No son una fuente determinante de los ingresos del hogar,1 a 3 personas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,La cantidad obedece a los recursos disponibles para invertir en produccion,Ahorros personales,No,,Ninguno de los anteriores,Si,La forma en la que el bien/servicio es producido,Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Facebook, Instagram, Whatsapp",Ninguna,Si,Intercambio de experiencias,5
128,25,Comuna 15-Guayabal,2,Mujer,Ninguno de los anteriores,Pregrado en curso,7,6,7,4,7,0,7,6,7,7,7,6,6,7,6,6,7,7,"Creatividad, originalidad e iniciativa, Gestion de las finanzas, Pensamiento analitico e innovacion",Relativamente comodo,2020,"Si, es mi primer emprendimiento",Bien,son panoletas para perros y gatos,Idea en estado avanzado,,,,,,,,,,,Si,Las caracteristicas del bien/servicio que ofreces,Si,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea",Instagram,Ninguna,No,,4
129,27,Comuna 9-Buenos Aires,3,Mujer,Ninguno de los anteriores,Tecnica,7,7,5,4,7,5,6,6,6,6,6,6,6,4,4,2,6,6,"Aprendizaje activo y estrategico, Creatividad, originalidad e iniciativa, Pensamiento critico, Resolucion de problemas, Liderazgo, Gestion del tiempo y coordinacion, Inteligencia emocional, Diseno tecnologico y programacion, Destrezas manuales, resistencia y precision, Gestion de las finanzas, Pensamiento analitico e innovacion, Habilidades visuales y discursivas",Relativamente comodo,2020,"No, ya he emprendido antes",Ambos,Venta de ropa y accesorios para mujer ,Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta, Desarrollar soluciones tecnologicas de apoyo para potenciar otros emprendimientos",Son relativamente importantes en los ingresos del hogar,No hay personas adicionales involucradas,Algunas de ellas reciben remuneracion,Menos de 1 SMMLV,La cantidad obedece a los recursos disponibles para invertir en produccion,Ahorros personales,No,,Ninguno de los anteriores,No,,No lo se,Si,"Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,3
130,22,Comuna 9-Buenos Aires,3,Mujer,Ninguno de los anteriores,Pregrado en curso,7,0,7,7,3,1,5,5,7,6,5,5,6,5,7,4,5,5,"Creatividad, originalidad e iniciativa, Resolucion de problemas, Gestion del tiempo y coordinacion, Gestion de las finanzas, Pensamiento analitico e innovacion",Relativamente comodo,2017,"Si, es mi primer emprendimiento",Servicio,"Realizamos productos personalizados en madera, especialmente cuadernos, calendarios y planeadores para la gestion de actividades. ",Produccion y comercializacion,"Realizar el proceso de produccion, es decir, comprar insumos y transformarlos en el bien final, Distribuir y llevar el producto al cliente para su consumo, Promocionar y publicitar el producto para fomentar su venta",Son relativamente importantes en los ingresos del hogar,1 a 3 personas,Si,Menos de 1 SMMLV,El bien/servicio posee un caracter personalizado y por tanto la cantidad producida obedece a la cantidad demandada,"Ahorros personales, Credito informal",Si,Cuarentena nacional por Covid ,"Registro unico Tributario (RUT), Registro Mercantil",Si,Las caracteristicas del bien/servicio que ofreces,Si,Si,"Proceso de produccion, Publicidad e interaccion con los consumidores a traves de redes sociales, Ventas en linea","Instagram, Whatsapp",Ninguna,No,,1
